$Proto-West Semitic,Mehri
y i b a k k i , y ə b a j k $he weeps
l a b a n u m , ə l b oː n $white
q a b a r a , q ə b uː r $he has buried
b a j t u m , a b a j t $house
ʕ u m aː n u , aː m oː n $'Uman
y i m a l l i k , y ə m uː l ə k $he owns
x a m i s u m , x ə m oː h $five
s a b ʕ u m , h oː b a $seven
s a m i ʕ a , h iː m a $he has heard
b a s a l a , b ə h eː l $he has cooked
ɬ uː r u m , ɬ a w r $advice
s a w q a ʕ a , h ə w q aː $he has placed 
ʔ a r b a ʕ t u , ə r b oː t $four
y a w m u m , y uː m $day
m i n a , m ə n $from 
